State,Police
United States,338
Connecticut,349
Maine,218
Massachusetts,369
New Hampshire,293
Rhode Island,416
Vermont,334
Delaware,373
District of Columbia,864
Maryland,442
New Jersey,396
New York,505
Pennsylvania,293
Illinois,405
Indiana,189
Michigan,252
Ohio,315
Wisconsin,328
Iowa,249
Kansas,271
Minnesota,345
Missouri,296
Nebraska,259
North Dakota,260
South Dakota,233
Alabama,257
Arkansas,228
Florida,381
Georgia,259
Kentucky,172
Louisiana,342
Mississippi,253
North Carolina,301
South Carolina,250
Tennessee,272
Virginia,282
West Virginia,212
Arizona,326
New Mexico,328
Oklahoma,261
Texas,275
Colorado,330
Idaho,256
Montana,283
Utah,219
Wyoming,400
California,448
Nevada,404
Oregon,322
Washington,287
Alaska,497
Hawaii,321
